"rgn_id","species_code","year","tonnes"
1,110,2006,600
1,110,2007,737
1,110,2008,835
1,110,2009,911
1,110,2010,924
1,110,2011,997
1,110,2012,0
1,111,2003,0
1,111,2004,0
1,111,2005,0
1,111,2006,0
1,111,2007,0
1,111,2008,0
1,111,2009,0
1,111,2010,0
1,111,2011,0
1,111,2012,0
1,112,2008,1
1,112,2009,0
1,112,2010,0
1,112,2011,0
1,112,2012,0
1,113,2003,279906
1,113,2004,348665
1,113,2005,385086
1,113,2006,375991
1,113,2007,330391
1,113,2008,388048
1,113,2009,230678
1,113,2010,120000
1,113,2011,254570
1,113,2012,386607
1,114,2010,7
1,114,2011,0
1,114,2012,0
1,115,2003,168
1,115,2004,222
1,115,2005,144
1,115,2006,152
1,115,2007,187
1,115,2008,205
1,115,2009,137
1,115,2010,163
1,115,2011,219
1,115,2012,194
1,116,2003,57809
1,116,2004,77461
1,116,2005,87736
1,116,2006,126952
1,116,2007,153433
1,116,2008,187064
1,116,2009,166952
1,116,2010,221522
1,116,2011,288583
1,116,2012,244137
1,117,2003,1526
1,117,2004,3128
1,117,2005,2904
1,117,2006,1958
1,117,2007,1910
1,117,2008,72
1,117,2009,603
1,117,2010,636
1,117,2011,1094
1,117,2012,1688
1,118,2003,1567
1,118,2004,1295
1,118,2005,843
1,118,2006,617
1,118,2007,1091
1,118,2008,1575
1,118,2009,1602
1,118,2010,1736
1,118,2011,3638
1,118,2012,1995
1,119,2003,185
1,119,2004,397
1,119,2005,560
1,119,2006,896
1,119,2007,649
1,119,2008,692
1,119,2009,512
1,119,2010,757
1,119,2011,825
1,119,2012,330
1,120,2003,91714
1,120,2004,90244
1,120,2005,102376
1,120,2006,118042
1,120,2007,105377
1,120,2008,92267
1,120,2009,147348
1,120,2010,110000
1,120,2011,144120
1,120,2012,146334
1,121,2003,8
1,121,2004,16
1,121,2005,1
1,121,2006,4
1,121,2007,15
1,121,2008,1
1,121,2009,2
1,121,2010,0
1,121,2011,6
1,121,2012,25
1,122,2003,0
1,122,2004,0
1,122,2005,0
1,122,2006,0
1,122,2007,0
1,122,2008,0
1,122,2009,0
1,122,2010,0
1,122,2011,0
1,122,2012,0
1,123,2003,3640
1,123,2004,2356
1,123,2005,2495
1,123,2006,1443
1,123,2007,778
1,123,2008,882
1,123,2009,96
1,123,2010,94
1,123,2011,0
1,123,2012,0
1,124,2003,15109
1,124,2004,24577
1,124,2005,17319
1,124,2006,16076
1,124,2007,20072
1,124,2008,21277
1,124,2009,16864
1,124,2010,8840
1,124,2011,11018
1,124,2012,5798
1,125,2003,111493
1,125,2004,122760
1,125,2005,113582
1,125,2006,140262
1,125,2007,162406
1,125,2008,147563
1,125,2009,199497
1,125,2010,2e+05
1,125,2011,208482
1,125,2012,223516
1,126,2003,120
1,126,2004,241
1,126,2005,342
1,126,2006,391
1,126,2007,357
1,126,2008,514
1,126,2009,841
1,126,2010,794
1,126,2011,835
1,126,2012,828
1,127,2003,422
1,127,2004,273
1,127,2005,296
1,127,2006,277
1,127,2007,335
1,127,2008,282
1,127,2009,319
1,127,2010,292
1,127,2011,252
1,127,2012,442
1,128,2003,9810
1,128,2004,13515
1,128,2005,15460
1,128,2006,18921
1,128,2007,25324
1,128,2008,33010
1,128,2009,42373
1,128,2010,56511
1,128,2011,76786
1,128,2012,90694
1,129,2003,10131
1,129,2004,11000
1,129,2005,10473
1,129,2006,10308
1,129,2007,11528
1,129,2008,19511
1,129,2009,19404
1,129,2010,16787
1,129,2011,13325
1,129,2012,13094
1,130,2003,40380
1,130,2004,41443
1,130,2005,40974
1,130,2006,36383
1,130,2007,44825
1,130,2008,104008
1,130,2009,109172
1,130,2010,133994
1,130,2011,62255
1,130,2012,0
1,131,2003,278278
1,131,2004,282808
1,131,2005,265673
1,131,2006,276288
1,131,2007,279510
1,131,2008,290177
1,131,2009,276742
1,131,2010,310380
1,131,2011,293200
1,131,2012,278058
1,132,2003,14428
1,132,2004,14431
